host,cpu,memory,taskType,taskCreatedAt,taskScheduledAt,taskReceivedAt,taskStartedAt,taskFinishedAt
1,55.37,51.33,High,2023-04-01 14:00:00,2023-04-01 14:00:01,2023-04-01 14:05:01,2023-04-01 14:05:02,2023-04-01 14:07:02
2,55.01,51.33,Medium,2023-04-01 14:10:00,2023-04-01 14:10:01,2023-04-01 14:11:01,2023-04-01 14:11:04,2023-04-01 14:13:04
3,55.35,51.28,Low,2023-04-01 14:20:00,2023-04-01 14:20:02,2023-04-01 14:25:02,2023-04-01 14:25:04,2023-04-01 14:27:04
4,55.17,51.38,Medium,2023-04-01 14:30:00,2023-04-01 14:30:02,2023-04-01 14:30:02,2023-04-01 14:30:05,2023-04-01 14:31:05
5,55.35,51.41,Medium,2023-04-01 14:40:00,2023-04-01 14:40:01,2023-04-01 14:43:01,2023-04-01 14:43:04,2023-04-01 14:45:04
1,55.72,51.53,High,2023-04-01 14:50:00,2023-04-01 14:50:01,2023-04-01 14:53:01,2023-04-01 14:53:02,2023-04-01 14:55:02
2,55.22,51.35,High,2023-04-01 15:00:00,2023-04-01 15:00:01,2023-04-01 15:01:01,2023-04-01 15:01:02,2023-04-01 15:02:02
3,55.23,51.3,High,2023-04-01 15:10:00,2023-04-01 15:10:01,2023-04-01 15:11:01,2023-04-01 15:11:03,2023-04-01 15:12:03
4,55.48,51.43,High,2023-04-01 15:20:00,2023-04-01 15:20:02,2023-04-01 15:23:02,2023-04-01 15:23:06,2023-04-01 15:25:06
5,55.14,51.42,High,2023-04-01 15:30:00,2023-04-01 15:30:02,2023-04-01 15:34:02,2023-04-01 15:34:04,2023-04-01 15:36:04
1,54.89,51.28,Low,2023-04-01 15:40:00,2023-04-01 15:40:01,2023-04-01 15:45:01,2023-04-01 15:45:02,2023-04-01 15:47:02
2,55.43,51.36,Low,2023-04-01 15:50:00,2023-04-01 15:50:01,2023-04-01 15:52:01,2023-04-01 15:52:03,2023-04-01 15:54:03
3,54.9,51.32,Medium,2023-04-01 16:00:00,2023-04-01 16:00:01,2023-04-01 16:01:01,2023-04-01 16:01:05,2023-04-01 16:02:05
4,55.77,51.45,High,2023-04-01 16:10:00,2023-04-01 16:10:02,2023-04-01 16:12:02,2023-04-01 16:12:03,2023-04-01 16:14:03
5,55.29,51.25,Low,2023-04-01 16:20:00,2023-04-01 16:20:02,2023-04-01 16:20:02,2023-04-01 16:20:04,2023-04-01 16:21:04
1,55.14,51.36,Medium,2023-04-01 16:30:00,2023-04-01 16:30:02,2023-04-01 16:35:02,2023-04-01 16:35:06,2023-04-01 16:37:06
2,55.66,51.44,Medium,2023-04-01 16:40:00,2023-04-01 16:40:02,2023-04-01 16:43:02,2023-04-01 16:43:05,2023-04-01 16:44:05
3,55.29,51.37,Medium,2023-04-01 16:50:00,2023-04-01 16:50:01,2023-04-01 16:51:01,2023-04-01 16:51:03,2023-04-01 16:52:03
4,55.47,51.37,High,2023-04-01 17:00:00,2023-04-01 17:00:01,2023-04-01 17:04:01,2023-04-01 17:04:03,2023-04-01 17:05:03
5,54.99,51.39,Low,2023-04-01 17:10:00,2023-04-01 17:10:02,2023-04-01 17:15:02,2023-04-01 17:15:06,2023-04-01 17:17:06
1,55.66,51.38,Medium,2023-04-01 17:20:00,2023-04-01 17:20:01,2023-04-01 17:20:01,2023-04-01 17:20:02,2023-04-01 17:22:02
2,55.22,51.32,Low,2023-04-01 17:30:00,2023-04-01 17:30:01,2023-04-01 17:32:01,2023-04-01 17:32:03,2023-04-01 17:34:03
3,54.92,51.5,High,2023-04-01 17:40:00,2023-04-01 17:40:02,2023-04-01 17:42:02,2023-04-01 17:42:03,2023-04-01 17:43:03
4,55.43,51.43,High,2023-04-01 17:50:00,2023-04-01 17:50:01,2023-04-01 17:53:01,2023-04-01 17:53:05,2023-04-01 17:54:05
5,55.38,51.37,High,2023-04-01 18:00:00,2023-04-01 18:00:02,2023-04-01 18:03:02,2023-04-01 18:03:03,2023-04-01 18:05:03
1,54.89,51.18,Medium,2023-04-01 18:10:00,2023-04-01 18:10:02,2023-04-01 18:10:02,2023-04-01 18:10:04,2023-04-01 18:11:04
2,55.0,51.6,Low,2023-04-01 18:20:00,2023-04-01 18:20:02,2023-04-01 18:20:02,2023-04-01 18:20:06,2023-04-01 18:21:06
3,55.01,51.41,Low,2023-04-01 18:30:00,2023-04-01 18:30:01,2023-04-01 18:34:01,2023-04-01 18:34:03,2023-04-01 18:36:03
4,55.55,51.42,High,2023-04-01 18:40:00,2023-04-01 18:40:01,2023-04-01 18:45:01,2023-04-01 18:45:05,2023-04-01 18:46:05
5,54.56,51.42,Low,2023-04-01 18:50:00,2023-04-01 18:50:01,2023-04-01 18:55:01,2023-04-01 18:55:05,2023-04-01 18:56:05
1,55.31,51.55,High,2023-04-01 19:00:00,2023-04-01 19:00:01,2023-04-01 19:00:01,2023-04-01 19:00:04,2023-04-01 19:01:04
2,55.14,51.61,High,2023-04-01 19:10:00,2023-04-01 19:10:02,2023-04-01 19:12:02,2023-04-01 19:12:04,2023-04-01 19:14:04
3,55.26,51.47,High,2023-04-01 19:20:00,2023-04-01 19:20:02,2023-04-01 19:23:02,2023-04-01 19:23:05,2023-04-01 19:25:05
4,55.51,51.45,Low,2023-04-01 19:30:00,2023-04-01 19:30:02,2023-04-01 19:34:02,2023-04-01 19:34:04,2023-04-01 19:35:04
5,54.92,51.33,Low,2023-04-01 19:40:00,2023-04-01 19:40:02,2023-04-01 19:43:02,2023-04-01 19:43:04,2023-04-01 19:45:04
1,55.27,51.17,High,2023-04-01 19:50:00,2023-04-01 19:50:01,2023-04-01 19:53:01,2023-04-01 19:53:05,2023-04-01 19:55:05
2,55.37,51.29,Low,2023-04-01 20:00:00,2023-04-01 20:00:01,2023-04-01 20:03:01,2023-04-01 20:03:02,2023-04-01 20:04:02
3,55.02,51.31,Low,2023-04-01 20:10:00,2023-04-01 20:10:02,2023-04-01 20:10:02,2023-04-01 20:10:03,2023-04-01 20:11:03
4,55.01,51.31,Low,2023-04-01 20:20:00,2023-04-01 20:20:01,2023-04-01 20:20:01,2023-04-01 20:20:05,2023-04-01 20:21:05
