host,cpu,memory,taskType,taskCreatedAt,taskScheduledAt,taskReceivedAt,taskStartedAt,taskFinishedAt
3,52.95,43.24,Medium,2023-04-01 14:00:00,2023-04-01 14:00:02,2023-04-01 14:05:02,2023-04-01 14:05:03,2023-04-01 14:06:03
1,52.79,43.3,Medium,2023-04-01 14:10:00,2023-04-01 14:10:02,2023-04-01 14:11:02,2023-04-01 14:11:05,2023-04-01 14:13:05
5,52.64,43.23,Medium,2023-04-01 14:20:00,2023-04-01 14:20:01,2023-04-01 14:23:01,2023-04-01 14:23:03,2023-04-01 14:24:03
4,52.67,43.2,Low,2023-04-01 14:30:00,2023-04-01 14:30:01,2023-04-01 14:35:01,2023-04-01 14:35:03,2023-04-01 14:37:03
2,52.85,43.17,Low,2023-04-01 14:40:00,2023-04-01 14:40:01,2023-04-01 14:43:01,2023-04-01 14:43:02,2023-04-01 14:44:02
1,53.0,43.3,High,2023-04-01 14:50:00,2023-04-01 14:50:01,2023-04-01 14:50:01,2023-04-01 14:50:04,2023-04-01 14:51:04
5,52.69,43.24,Medium,2023-04-01 15:00:00,2023-04-01 15:00:01,2023-04-01 15:00:01,2023-04-01 15:00:04,2023-04-01 15:01:04
4,52.61,43.36,Low,2023-04-01 15:10:00,2023-04-01 15:10:02,2023-04-01 15:15:02,2023-04-01 15:15:06,2023-04-01 15:16:06
2,52.95,43.25,Medium,2023-04-01 15:20:00,2023-04-01 15:20:01,2023-04-01 15:24:01,2023-04-01 15:24:05,2023-04-01 15:26:05
3,52.65,43.3,Medium,2023-04-01 15:30:00,2023-04-01 15:30:02,2023-04-01 15:35:02,2023-04-01 15:35:06,2023-04-01 15:36:06
3,53.07,43.14,Medium,2023-04-01 15:40:00,2023-04-01 15:40:01,2023-04-01 15:43:01,2023-04-01 15:43:04,2023-04-01 15:45:04
1,53.02,43.25,High,2023-04-01 15:50:00,2023-04-01 15:50:01,2023-04-01 15:50:01,2023-04-01 15:50:04,2023-04-01 15:51:04
5,52.86,43.17,Low,2023-04-01 16:00:00,2023-04-01 16:00:01,2023-04-01 16:04:01,2023-04-01 16:04:03,2023-04-01 16:05:03
4,52.65,43.22,Medium,2023-04-01 16:10:00,2023-04-01 16:10:01,2023-04-01 16:14:01,2023-04-01 16:14:02,2023-04-01 16:16:02
2,52.74,43.12,Low,2023-04-01 16:20:00,2023-04-01 16:20:02,2023-04-01 16:20:02,2023-04-01 16:20:03,2023-04-01 16:22:03
1,52.96,43.19,High,2023-04-01 16:30:00,2023-04-01 16:30:02,2023-04-01 16:33:02,2023-04-01 16:33:03,2023-04-01 16:34:03
5,52.8,43.28,High,2023-04-01 16:40:00,2023-04-01 16:40:02,2023-04-01 16:44:02,2023-04-01 16:44:04,2023-04-01 16:46:04
4,52.81,43.26,Medium,2023-04-01 16:50:00,2023-04-01 16:50:02,2023-04-01 16:54:02,2023-04-01 16:54:04,2023-04-01 16:56:04
2,52.94,43.36,High,2023-04-01 17:00:00,2023-04-01 17:00:02,2023-04-01 17:00:02,2023-04-01 17:00:03,2023-04-01 17:01:03
3,52.75,43.29,Low,2023-04-01 17:10:00,2023-04-01 17:10:02,2023-04-01 17:13:02,2023-04-01 17:13:06,2023-04-01 17:14:06
3,52.87,43.31,Low,2023-04-01 17:20:00,2023-04-01 17:20:02,2023-04-01 17:21:02,2023-04-01 17:21:04,2023-04-01 17:23:04
1,52.86,43.26,High,2023-04-01 17:30:00,2023-04-01 17:30:01,2023-04-01 17:31:01,2023-04-01 17:31:05,2023-04-01 17:33:05
5,52.88,43.22,High,2023-04-01 17:40:00,2023-04-01 17:40:02,2023-04-01 17:43:02,2023-04-01 17:43:03,2023-04-01 17:44:03
4,52.67,43.22,High,2023-04-01 17:50:00,2023-04-01 17:50:01,2023-04-01 17:53:01,2023-04-01 17:53:05,2023-04-01 17:55:05
2,52.92,43.21,Medium,2023-04-01 18:00:00,2023-04-01 18:00:01,2023-04-01 18:04:01,2023-04-01 18:04:04,2023-04-01 18:06:04
1,53.2,43.3,Medium,2023-04-01 18:10:00,2023-04-01 18:10:02,2023-04-01 18:11:02,2023-04-01 18:11:04,2023-04-01 18:12:04
5,52.74,43.13,Low,2023-04-01 18:20:00,2023-04-01 18:20:01,2023-04-01 18:22:01,2023-04-01 18:22:02,2023-04-01 18:23:02
4,53.05,43.33,Medium,2023-04-01 18:30:00,2023-04-01 18:30:02,2023-04-01 18:35:02,2023-04-01 18:35:05,2023-04-01 18:37:05
2,52.79,43.3,High,2023-04-01 18:40:00,2023-04-01 18:40:02,2023-04-01 18:44:02,2023-04-01 18:44:05,2023-04-01 18:46:05
3,53.0,43.29,Low,2023-04-01 18:50:00,2023-04-01 18:50:01,2023-04-01 18:55:01,2023-04-01 18:55:03,2023-04-01 18:56:03
