top - 12:13:53 up  1:22,  1 user,  load average: 2.68, 2.14, 1.98
Tasks: 359 total,   4 running, 355 sleeping,   0 stopped,   0 zombie
%Cpu(s): 53.3 us, 20.0 sy,  0.0 ni, 25.9 id,  0.4 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  15805.8 total,    587.7 free,   5025.8 used,  10192.3 buff/cache
MiB Swap:   2048.0 total,   1889.1 free,    158.9 used.   9768.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4808 kaushal   20   0   32.9g 343432 276872 S 661.1   2.1  12:44.50 code
   2953 libvirt+  20   0 9261840   2.2g  20276 S 111.1  14.0  12:23.30 qemu-system-x86
   2582 root      20   0   19756   4004   1788 R  77.8   0.0  13:54.82 mount.ntfs
   2728 kaushal   20   0 2141996 172180  55828 S  38.9   1.1   4:06.30 virt-manager
   6014 kaushal   20   0   50.8g 266744 135240 S  38.9   1.6   1:16.53 code
  18010 kaushal   20   0   21860   3972   3272 R  22.2   0.0   0:00.07 top
  16595 root      20   0  477308  29684   5980 S  16.7   0.2   0:33.46 qemu-img
   1693 kaushal   20   0 5841884 267728  73284 R  11.1   1.7   3:25.08 gnome-shell
     90 root      20   0       0      0      0 S   5.6   0.0   0:39.95 kcompactd0
  17517 kaushal   20   0   54.8g 263192 149220 S   5.6   1.6   0:28.85 code
      1 root      20   0  167140  10348   6316 S   0.0   0.1   0:03.09 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftirqd/0
     13 root      20   0       0      0      0 I   0.0   0.0   0:05.03 rcu_sched
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 migration/0
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.73 kworker/0:1-events
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migration/1
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.11 ksoftirqd/1
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.12 migration/2
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftirqd/2
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.12 migration/3
     33 root      20   0       0      0      0 S   0.0   0.0   0:04.17 ksoftirqd/3
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-kblockd
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     38 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/4
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftirqd/4
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-events_highpri
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     44 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/5
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftirqd/5
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/6
     50 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/6
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/6
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-events_highpri
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/7
     56 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/7
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftirqd/7
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-events_highpri
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/8
     62 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration/8
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/8
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:0H-events_highpri
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/9
     68 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration/9
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/9
     71 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-events_highpri
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/10
     74 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration/10
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/10
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-events_highpri
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/11
     80 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration/11
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/11
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
     88 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     91 root      25   5       0      0      0 S   0.0   0.0   0:21.54 ksmd
     92 root      39  19       0      0      0 S   0.0   0.0   0:01.00 khugepaged
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    146 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    147 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.15 kworker/1:1H-kblockd
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker/0:1H-events_highpri
    153 root      20   0       0      0      0 S   0.0   0.0   1:08.60 kswapd0
    154 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    158 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-aerdrv
    159 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-pcie-dp
    160 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-aerdrv
    161 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-pcie-dp
    162 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125-aerdrv
    163 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125-pcie-dp
    166 root      20   0       0      0      0 I   0.0   0.0   0:01.08 kworker/4:1-events
    172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    176 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker/7:1H-events_highpri
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    180 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker/6:1H-events_highpri
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker/9:1H-events_highpri
    258 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    259 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    260 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    261 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    263 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    265 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    267 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    268 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
    269 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
    270 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_4
    278 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker/11:1H-events_highpri
    279 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker/2:1H-kblockd
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.20 kworker/8:1H-events_highpri
    283 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker/4:1H-kblockd
    286 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker/10:1H-events_highpri
    290 root       0 -20       0      0      0 I   0.0   0.0   0:00.46 kworker/5:1H-events_highpri
    311 root      20   0       0      0      0 S   0.0   0.0   0:00.39 jbd2/nvme0n1p4-
    312 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    357 root      19  -1   97424  27360  25840 S   0.0   0.2   0:01.97 systemd-journal
    389 root      20   0   26840   6712   4152 S   0.0   0.0   0:00.50 systemd-udevd
    394 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker/3:1H-events_highpri
    478 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    495 root     -51   0       0      0      0 S   0.0   0.0   0:01.19 irq/140-iwlwifi
    496 root     -51   0       0      0      0 S   0.0   0.0   0:00.35 irq/141-iwlwifi
    497 root     -51   0       0      0      0 S   0.0   0.0   0:00.29 irq/142-iwlwifi
    498 root     -51   0       0      0      0 S   0.0   0.0   0:00.26 irq/143-iwlwifi
    499 root     -51   0       0      0      0 S   0.0   0.0   0:00.20 irq/144-iwlwifi
    500 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/145-iwlwifi
    503 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    582 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    583 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    584 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    661 systemd+  20   0   14824   5120   4324 S   0.0   0.0   0:07.89 systemd-oomd
    662 systemd+  20   0   25784  12876   8612 S   0.0   0.1   0:01.99 systemd-resolve
    666 systemd+  20   0   89708   5816   4928 S   0.0   0.0   0:00.14 systemd-timesyn
    690 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvkm-disp
    707 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc0
    708 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc1
    709 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc2
    710 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc3
    837 root      20   0  248632   7888   6952 S   0.0   0.0   0:00.55 accounts-daemon
    842 root      20   0    2812   1128   1040 S   0.0   0.0   0:00.90 acpid
    864 avahi     20   0    7704   3912   3404 S   0.0   0.0   0:00.65 avahi-daemon
    870 root      20   0   10624   4912   4520 S   0.0   0.0   0:00.09 bluetoothd
    876 root      20   0   18148   2820   2568 S   0.0   0.0   0:00.00 cron
    880 message+  20   0   11040   6272   3560 S   0.0   0.0   0:04.44 dbus-daemon
    890 root      20   0  343592  18676  15336 S   0.0   0.1   0:06.31 NetworkManager
    912 root      20   0   82804   3684   3320 S   0.0   0.0   0:00.68 irqbalance
    916 root      20   0   49712  20700  11808 S   0.0   0.1   0:00.08 networkd-dispat
    920 root      20   0  252220  11412   7188 S   0.0   0.1   0:08.37 polkitd
    927 root      20   0  248740   7516   6804 S   0.0   0.0   0:00.06 power-profiles-
    930 syslog    20   0  222400   5548   3984 S   0.0   0.0   0:00.56 rsyslogd
    942 root      20   0 1687176  24396   9344 S   0.0   0.2   0:08.13 snapd
    951 root      20   0  245024   6688   6144 S   0.0   0.0   0:00.02 switcheroo-cont
    957 root      20   0   48252   7128   5872 S   0.0   0.0   0:00.72 systemd-logind
    961 root      20   0   14992   6064   5144 S   0.0   0.0   0:00.74 systemd-machine
    964 root      20   0  284708  10048   9184 S   0.0   0.1   0:00.50 thermald
